"anio" "lag1" "lag2" "lag3" "lag4" "lag5" "volumen" "direc"
2002 1.855 -1.679 -1.455 3.75 -0.302 1.0886 "Down"
2002 2.114 1.855 -1.679 -1.455 3.75 1.4145 "Up"
2002 -0.566 2.114 1.855 -1.679 -1.455 1.4202 "Up"
2002 0.656 -0.566 2.114 1.855 -1.679 1.2566 "Up"
2002 0.761 0.656 -0.566 2.114 1.855 1.2744 "Up"
2002 -1.329 0.761 0.656 -0.566 2.114 0.9898 "Up"
2002 -1.099 -1.329 0.761 0.656 -0.566 1.2005 "Down"
2002 0.569 -1.099 -1.329 0.761 0.656 1.1363 "Down"
2002 1.018 0.569 -1.099 -1.329 0.761 1.1929 "Down"
2002 -1.209 1.018 0.569 -1.099 -1.329 0.8854 "Up"
2002 -0.855 -1.209 1.018 0.569 -1.099 0.9965 "Up"
2002 -0.641 -0.855 -1.209 1.018 0.569 1.0818 "Down"
2002 -0.281 -0.641 -0.855 -1.209 1.018 1.2866 "Up"
2002 0.233 -0.281 -0.641 -0.855 -1.209 1.2773 "Up"
2002 -2.48 0.233 -0.281 -0.641 -0.855 1.3243 "Up"
2002 0.001 -2.48 0.233 -0.281 -0.641 1.4666 "Down"
2002 0.885 0.001 -2.48 0.233 -0.281 1.3001 "Down"
2002 -1.976 0.885 0.001 -2.48 0.233 1.6015 "Down"
2002 -0.157 -1.976 0.885 0.001 -2.48 1.3413 "Up"
2002 0.312 -0.157 -1.976 0.885 0.001 1.2262 "Down"
2002 -1.663 0.312 -0.157 -1.976 0.885 1.2124 "Up"
2002 0.657 -1.663 0.312 -0.157 -1.976 1.79572 "Up"
2002 -1.049 0.657 -1.663 0.312 -0.157 1.4055 "Down"
2002 -0.227 -1.049 0.657 -1.663 0.312 1.549 "Down"
2002 2.869 -0.227 -1.049 0.657 -1.663 1.2366 "Up"
2002 0.094 2.869 -0.227 -1.049 0.657 1.1931 "Down"
2002 -1.654 0.094 2.869 -0.227 -1.049 1.3361 "Up"
2002 -1.343 -1.654 0.094 2.869 -0.227 1.3897 "Down"
2002 -1.704 -1.343 -1.654 0.094 2.869 1.4972 "Up"
2002 0.362 -1.704 -1.343 -1.654 0.094 1.5526 "Down"
2002 -1.67 0.362 -1.704 -1.343 -1.654 1.5137 "Up"
2002 -0.267 -1.67 0.362 -1.704 -1.343 2.01429 "Up"
2002 1.758 -0.267 -1.67 0.362 -1.704 1.9086 "Up"
2002 -0.083 1.758 -0.267 -1.67 0.362 2.117 "Up"
2002 -2.139 -0.083 1.758 -0.267 -1.67 1.4255 "Up"
2002 -2.123 -2.139 -0.083 1.758 -0.267 1.823 "Down"
2002 0.622 -2.123 -2.139 -0.083 1.758 1.5278 "Up"
2002 3.673 0.622 -2.123 -2.139 -0.083 0.6994 "Down"
2002 -1.218 3.673 0.622 -2.123 -2.139 1.1844 "Up"
2002 -2.472 -1.218 3.673 0.622 -2.123 1.3489 "Up"
2002 -3.396 -2.472 -1.218 3.673 0.622 1.8169 "Up"
2002 0.75 -3.396 -2.472 -1.218 3.673 2.08048 "Up"
2002 -0.645 0.75 -3.396 -2.472 -1.218 1.6074 "Up"
2002 -0.376 -0.645 0.75 -3.396 -2.472 2.5748 "Up"
2002 -1.851 -0.376 -0.645 0.75 -3.396 1.8437 "Up"
2002 0.566 -1.851 -0.376 -0.645 0.75 2.5665 "Up"
2002 -2.702 0.566 -1.851 -0.376 -0.645 1.7363 "Down"
2002 -3.835 -2.702 0.566 -1.851 -0.376 2.6541 "Up"
2002 -3.291 -3.835 -2.702 0.566 -1.851 2.24806 "Up"
2002 -2.702 -3.291 -3.835 -2.702 0.566 2.44102 "Up"
2002 5.733 -2.702 -3.291 -3.835 -2.702 2.77556 "Up"
2002 -0.563 5.733 -2.702 -3.291 -3.835 2.4247 "Up"
2002 1.688 -0.563 5.733 -2.702 -3.291 1.7961 "Up"
2002 5.408 1.688 -0.563 5.733 -2.702 1.77865 "Up"
2002 0.425 5.408 1.688 -0.563 5.733 1.82609 "Up"
2002 0.979 0.425 5.408 1.688 -0.563 2.04936 "Up"
2002 -2.957 0.979 0.425 5.408 1.688 1.6722 "Up"
2002 -2.308 -2.957 0.979 0.425 5.408 1.5381 "Up"
